cluster,gene,score,avg_log2FC,p_val,p_val_adj,pct.1,pct.2
0,PAPPA,19.828829,0.698,1.6790449949955792e-87,1.4284755135757389e-83,1.0,0.997
0,PLCG2,6.6870737,0.669,2.276771570127452e-11,2.16828510389414e-09,0.459,0.436
0,PSG4,14.801331,0.605,1.4361313475712455e-49,4.072708931562322e-46,0.861,0.848
0,CSH2,27.69698,0.603,7.592062663922802e-169,9.688610768565083e-165,1.0,1.0
0,CSH1,29.541924,0.597,8.339435177134008e-192,2.1284740402599128e-187,1.0,1.0
0,PSG1,17.785284,0.578,9.18977787508037e-71,3.909178345094605e-67,0.961,0.961
0,PAPPA2,11.243686,0.574,2.4877302008326358e-29,3.7349610538736094e-26,0.98,0.967
0,PLAC4,11.797237,0.551,4.033355454639734e-32,6.862888751251328e-29,0.963,0.94
0,KISS1,14.538616,0.536,6.897276396229056e-48,1.760391854609542e-44,0.921,0.923
0,AFF1,9.847745,0.535,7.009935583611905e-23,5.1118453114436184e-20,0.973,0.948
0,CGA,16.919718,0.524,3.2196695192578916e-64,1.0271953142502396e-60,0.992,0.984
0,INHBA,8.439666,0.523,3.1824631502360945e-17,1.0548832075776082e-14,0.579,0.566
0,SLC26A3,19.189577,0.503,4.5230515665174326e-82,2.3088369026444887e-78,0.998,0.997
0,CRH,11.722765,0.497,9.743848910846569e-32,1.554326598447106e-28,0.776,0.777
0,S100P,7.070631,0.497,1.542307500191129e-12,1.9584235983770242e-10,0.504,0.514
0,CYP19A1,11.057474,0.495,2.0169810710759296e-28,2.451400375098617e-25,0.998,0.993
0,PSG9,10.358255,0.488,3.838994194260513e-25,3.7685634161581186e-22,0.703,0.705
0,PDE4D,5.5597563,0.488,2.7015132235983356e-08,1.1396813554694268e-06,0.53,0.517
0,ADAM12,7.6298704,0.473,2.3498988934265038e-14,4.7600372584860835e-12,1.0,0.999
0,TFPI2,17.074594,0.471,2.2941672927760816e-65,8.364861687646277e-62,0.991,0.993
0,RASGEF1B,19.616745,0.468,1.1125128022527636e-85,7.098666062974322e-82,1.0,1.0
0,PSG3,12.642049,0.456,1.2378568891868434e-36,2.4302939525166003e-33,0.867,0.876
0,ADGRL3,3.192441,0.454,0.001410757795203188,0.015015334114666792,0.327,0.306
0,PSG5,12.828505,0.451,1.1353484068139054e-37,2.4147914489259423e-34,0.881,0.892
0,GULP1,8.184098,0.451,2.7434986487083496e-16,7.694760001206946e-14,0.919,0.884
0,FBLN1,13.274693,0.429,3.246002483350548e-40,7.531611034777822e-37,0.942,0.946
0,PSG6,9.273038,0.423,1.8091839909543518e-20,9.619958958568316e-18,0.709,0.715
0,COBLL1,7.0474987,0.411,1.8216275564519466e-12,2.2679707377230746e-10,0.968,0.936
0,HSD3B1,8.727976,0.405,2.592706430227424e-18,1.0673168744950733e-15,0.675,0.682
0,EXPH5,8.12041,0.399,4.646111764063596e-16,1.2352365682728662e-13,0.773,0.767
0,CHODL,5.8794456,0.397,4.116426620171924e-09,2.2449477911676928e-07,0.61,0.6
0,PSG2,11.183371,0.395,4.9185772794849074e-29,6.276842395214664e-26,0.86,0.874
0,CD63,5.6690016,0.382,1.4363217631111256e-08,6.617191400701311e-07,0.483,0.505
0,LINC01949,5.940903,0.376,2.8345592263602033e-09,1.597051989721666e-07,0.927,0.897
0,GDF15,10.31992,0.373,5.727089353754463e-25,5.220446484852685e-22,0.815,0.83
0,EPS8L1,6.0020647,0.369,1.948239817237686e-09,1.1575992946080037e-07,0.564,0.583
0,HSPB1,5.102837,0.356,3.345989700557152e-07,1.044531290607858e-05,0.468,0.488
0,GDPD5,3.3450856,0.322,0.0008225713860713444,0.009469774238474931,0.406,0.432
0,NEAT1,8.5220995,0.321,1.56687313984847e-17,5.632577908218662e-15,0.977,0.981
0,PSG11,5.198285,0.321,2.0113554689010934e-07,6.649718346212773e-06,0.509,0.538
0,TIMP2,8.563765,0.318,1.0924038787704518e-17,3.983060599694034e-15,0.77,0.797
0,GH2,6.408353,0.317,1.4710027486287995e-10,1.1587778751003966e-08,0.588,0.617
0,GRIP1,7.314717,0.309,2.579248810933211e-13,4.1402621007200214e-11,0.96,0.948
0,EPS8L2,3.7711546,0.307,0.00016249386580315027,0.0023257223426812064,0.478,0.51
0,BMP1,4.9974403,0.282,5.809624208486191e-07,1.6869060144845624e-05,0.535,0.57
0,GPC3,7.4081135,0.274,1.2810854226634637e-13,2.2242954586829648e-11,0.821,0.838
0,RYBP,5.7541413,0.269,8.708334125117472e-09,4.2416567151788784e-07,0.713,0.722
0,SDC1,6.5772896,0.26,4.7910103120969614e-11,4.2020947146271735e-09,0.639,0.682
0,VGLL3,6.150174,0.258,7.739801755902917e-10,5.013780716139851e-08,0.798,0.807
0,LNPEP,6.274992,0.241,3.4965210936667627e-10,2.528093707469031e-08,0.677,0.712
1,KLRD1,29.64884,2.6,3.51029845750941e-193,8.959334753101267e-189,0.851,0.439
1,PSG8-AS1,8.885574,2.562,6.359141347543178e-19,1.1593168900953182e-16,0.235,0.056
1,LINC01483,19.6349,2.255,7.783624111558697e-86,1.103674656662848e-82,0.618,0.289
